Year,Netflix Subscribers,Netflix Subscribers (US and Canada),Netflix Subscribers (EMEA),Netflix Subscribers (LATAM),Netflix Subscribers (APAC),Netflix Content Spending,Netflix Revenue
,,,,,,,35890000.0
2001.0,400000.0,,,,,,75910000.0
2002.0,796000.0,,,,,,152800000.0
2003.0,1410000.0,,,,,,272240000.0
2004.0,2480000.0,,,,,,506220000.0
2005.0,4020000.0,,,,,,682000000.0
2006.0,6150000.0,,,,,,997000000.0
2007.0,7320000.0,,,,,,1200000000.0
2008.0,9160000.0,,,,,,1360000000.0
2009.0,11890000.0,,,,,,1670000000.0
2010.0,18260000.0,,,,,,2160000000.0
2011.0,24300000.0,,,,,,3200000000.0
2012.0,30360000.0,,,,,,3600000000.0
2013.0,41430000.0,,,,,2400000000.0,4370000000.0
2014.0,54470000.0,,,,,3180000000.0,5500000000.0
2015.0,70830000.0,,,,,4610000000.0,6780000000.0
2016.0,89090000.0,,,,,6880000000.0,8830000000.0
2017.0,110640000.0,,,,,8910000000.0,11690000000.0
2018.0,139250000.0,64760000.0,37820000.0,26080000.0,10610000.0,12040000000.0,15790000000.0
2019.0,167090000.0,67660000.0,51780000.0,31420000.0,16230000.0,14610000000.0,20150000000.0
2020.0,203660000.0,73940000.0,66700000.0,37540000.0,25490000.0,17300000000.0,24990000000.0
2021.0,221840000.0,75220000.0,74040000.0,39960000.0,32630000.0,17500000000.0,29700000000.0
2022.0,230750000.0,74300000.0,76730000.0,41700000.0,38020000.0,16700000000.0,31620000000.0
2023.0,260280000.0,80130000.0,88810000.0,45600000.0,45340000.0,13000000000.0,33720000000.0
2024.0,,,,,,17000000000.0,
