Rank,Released,Released Worldwide,Release Year,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
1,"Dec 18, 2015","Dec 16, 2015",2015,Star Wars Ep. VII: The Force Awakens,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,533200000,4134,4134,37852,247966675,936662225,1246946196,1119384610,2056046835
2,"Jun 12, 2015","Jun 9, 2015",2015,Jurassic World,Universal,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,215000000,4274,4291,36378,208806270,653406625,876373751,1017657016,1671063641
3,"Apr 3, 2015","Apr 1, 2015",2015,Furious 7,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,190000000,4004,4022,27789,147187040,353007020,473607279,1157058375,1510065395
4,"May 1, 2015","Apr 22, 2015",2015,Avengers: Age of Ultron,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,365000000,4276,4276,30109,191271109,459005868,615819264,936311111,1395316979
5,"Jul 10, 2015","Jun 17, 2015",2015,Minions,Universal,Adventure,Spin-Off,Digital Animation,Kids Fiction,74000000,4301,4311,33712,115718405,336045770,450851446,821225989,1157271759
6,"Nov 6, 2015","Oct 6, 2015",2015,Spectre,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,245000000,3929,3929,23645,70403148,200074175,268325520,679003169,879077344
7,"Jun 19, 2015","Jun 12, 2015",2015,Inside Out,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,175000000,3946,4158,37079,90440272,356461711,478242219,492007743,848469454
8,"Jul 31, 2015","Jul 29, 2015",2015,Mission: Impossible Rogue Nation,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,150000000,3956,3988,27828,55520089,195042377,261676077,493816615,688858992
9,"Oct 2, 2015","Sep 30, 2015",2015,The Martian,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,108000000,3831,3854,31994,54308575,228433663,306369679,425175444,653609107
10,"Nov 20, 2015","Nov 18, 2015",2015,The Hunger Games: Mockingjay - Part 2,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,160000000,4175,4175,25500,102665981,281723902,377556460,364401385,646125287
11,"Feb 13, 2015","Feb 11, 2015",2015,Fifty Shades of Grey,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,40000000,3646,3655,18340,85171450,166167230,222936104,404627720,570794950
