year,category,nominee,workers,winner,category clean,nominee_clean,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,release_year,title_clean,_merge
1980,Film | Actor in 1980,Jack Lemmon,The China Syndrome,True,Actor,jacklemmon,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actor in 1980,Woody Allen,Manhattan,False,Actor,woodyallen,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actor in 1980,Robert De Niro,The Deer Hunter,False,Actor,robertdeniro,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actor in 1980,Martin Sheen,Apocalypse Now,False,Actor,martinsheen,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Jane Fonda,The China Syndrome,True,Actress,janefonda,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Diane Keaton,Manhattan,False,Actress,dianekeaton,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Maggie Smith,California Suite,False,Actress,maggiesmith,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Actress in 1980,Meryl Streep,The Deer Hunter,False,Actress,merylstreep,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Days Of Heaven,Ennio Morricone,True,Anthony Asquith Award for Original Film Music,daysofheaven,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Alien,Jerry Goldsmith,False,Anthony Asquith Award for Original Film Music,alien,1118941.0,A Lien,8.0,1.0,Released,2023-05-11,0.0,15.0,False,0.0,,en,A Lien,0.6,Drama,,,,2023.0,alien,both
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Apocalypse Now,"Carmine Coppola, Francis Ford Coppola",False,Anthony Asquith Award for Original Film Music,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Anthony Asquith Award for Original Film Music in 1980,Yanks,Richard Rodney Bennett,False,Anthony Asquith Award for Original Film Music,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,The Deer Hunter,Vilmos Zsigmond,True,Cinematography,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,Apocalypse Now,Vittorio Storaro,False,Cinematography,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,Manhattan,Gordon Willis,False,Cinematography,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Cinematography in 1980,Yanks,Dick Bush,False,Cinematography,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Costume Design in 1980,Yanks,Shirley Russell,True,Costume Design,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Costume Design in 1980,Agatha,Shirley Russell,False,Costume Design,agatha,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Costume Design in 1980,Alien,John Mollo,False,Costume Design,alien,1118941.0,A Lien,8.0,1.0,Released,2023-05-11,0.0,15.0,False,0.0,,en,A Lien,0.6,Drama,,,,2023.0,alien,both
1980,Film | Costume Design in 1980,The Europeans,Judy Moorcroft,False,Costume Design,theeuropeans,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,Apocalypse Now,Francis Ford Coppola,True,Direction,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,The Deer Hunter,Michael Cimino,False,Direction,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,Manhattan,Woody Allen,False,Direction,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Direction in 1980,Yanks,John Schlesinger,False,Direction,yanks,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Fellowship in 1980,John Huston,,True,Fellowship,johnhuston,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,Manhattan,Woody Allen,True,Film,manhattan,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,Apocalypse Now,Francis Ford Coppola,False,Film,apocalypsenow,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,The China Syndrome,James Bridges,False,Film,thechinasyndrome,,,,,,,,,,,,,,,,,,,,,left_only
1980,Film | Film in 1980,The Deer Hunter,Michael Cimino,False,Film,thedeerhunter,,,,,,,,,,,,,,,,,,,,,left_only
