num_Rank,num_Released,num_Released Worldwide,num_Release Year,Title,num_Theatrical Distributor,num_Genre,num_Source,num_Production Method,num_Creative Type,num_Production Budget,num_Opening Weekend Theaters,num_Maximum Theaters,num_Theatrical Engagements,num_Opening Weekend Revenue,num_Domestic Box Office,num_Infl. Adj. Dom. Box Office,num_International Box Office,num_Worldwide Box Office,mojo_release_year,mojo_rank,title,mojo_worldwide_box_office,mojo_us_box_office,mojo_us%,mojo_foreign_box_office,mojo_foreign%,id,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,popularity,genres,production_companies,production_countries,spoken_languages,release_year,merge_12,merge_123
,,,,,,,,,,,,,,,,,,,2020.0,111.0,100wolf,9822151.0,658764.0,0.067,9163387.0,0.93,520946.0,5.985,269.0,Released,2020-06-26,9750139.0,96.0,False,0.0,en,14.914,"Animation, Family, Fantasy","Flying Bark Productions, Screen Australia, ScreenWest, ReDefine, Studio 100, Siamese, Create NSW, Lotterywest","Australia, Belgium","English, Danish",2020.0,both,right_only
81.0,"Mar 11, 2016","Jan 4, 2016",2016.0,10cloverfieldlane,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,15000000.0,3391.0,3427.0,16734.0,24727437.0,72082999.0,94249566.0,36203423.0,108286422.0,2016.0,76.0,10cloverfieldlane,110216998.0,72082998.0,0.654,38134000.0,0.35,333371.0,6.981,7377.0,Released,2016-03-10,110216998.0,104.0,False,15000000.0,en,27.817,"Thriller, Science Fiction, Drama, Horror",Bad Robot,United States of America,English,2016.0,both,both
,,,,,,,,,,,,,,,,,,,2024.0,144.0,10lives,17227159.0,,,17227159.0,1.0,567811.0,0.0,0.0,Released,2023-08-24,0.0,78.0,False,0.0,en,2.023,"Animation, Comedy, Family","GFM Animation, L'Atelier Animation",,,2023.0,both,right_only
75.0,"Dec 31, 2023","Nov 22, 2023",2023.0,1212theday,,Drama,Original Screenplay,Live Action,Historical Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97554374.0,97554374.0,2023.0,68.0,1212theday,97476565.0,,,97476565.0,1.0,,,,,,,,,,,,,,,,,left_only,both
,,,,,,,,,,,,,,,,,,,2018.0,105.0,12strong,67359190.0,45819713.0,0.68,21539477.0,0.32,429351.0,6.233,2632.0,Released,2018-01-18,67450815.0,130.0,False,35000000.0,en,26.628,"War, Drama, Action, History","Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, Lionsgate, 16:14 Entertainment, Warner Bros. Pictures",United States of America,English,2018.0,both,right_only
24.0,"Dec 25, 2019","Dec 25, 2019",2019.0,1917,Universal,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,100000000.0,11.0,3987.0,28882.0,576216.0,159227644.0,196176179.0,224482428.0,383710072.0,2019.0,23.0,1917,384580017.0,159227644.0,0.414,225352373.0,0.59,530915.0,7.99,11395.0,Released,2019-12-25,394638258.0,119.0,False,100000000.0,en,44.356,"War, History, Thriller","DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners","India, Spain, United Kingdom, United States of America","English, French, German",2019.0,both,both
55.0,"Dec 31, 2021","Jun 25, 2021",2021.0,1921,,Drama,Based on Real Life Events,Live Action,Dramatization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75017096.0,75017096.0,2021.0,53.0,1921,75159828.0,,,75159828.0,1.0,492181.0,5.7,13.0,Released,2018-01-12,0.0,144.0,False,0.0,hi,2.379,"Thriller, Horror","Motion Picture Capital, Loneranger Production",India,Hindi,2018.0,both,both
,,,,,,,,,,,,,,,,,,,2017.0,114.0,1987whenthedaycomes,53834292.0,,,53834292.0,1.0,437103.0,8.113,124.0,Released,2017-12-27,49380115.0,129.0,False,12308000.0,ko,9.789,"Drama, History, Thriller","CJ Entertainment, Woojeong Film",South Korea,Korean,2017.0,both,right_only
97.0,"Dec 31, 2018","Nov 29, 2018",2018.0,2,,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79084747.0,79084747.0,2018.0,153.0,2,36945969.0,4152000.0,0.1119999999999999,32793969.0,0.89,307276.0,9.5,2.0,Released,2007-12-11,0.0,96.0,False,0.0,el,2.729,Drama,HAOS Films,Greece,Greek,2007.0,both,both
97.0,"Dec 31, 2018","Nov 29, 2018",2018.0,2,,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79084747.0,79084747.0,2018.0,153.0,2,36945969.0,4152000.0,0.1119999999999999,32793969.0,0.89,1144354.0,0.0,0.0,Released,2023-06-24,0.0,2.0,False,0.0,en,0.6,,,,,2023.0,both,both
,,,,,,,,,,,,,,,,,,,2019.0,118.0,21bridges,49939757.0,28539757.0,0.5710000000000001,21400000.0,0.43,535292.0,6.757,1778.0,Released,2019-10-24,49939757.0,99.0,False,33000000.0,en,16.605,"Crime, Action, Drama","AGBO, MWM Studios, Huayi Brothers Pictures, Universal Pictures",United States of America,English,2019.0,both,right_only
39.0,"Jun 20, 2025","Jun 18, 2025",2025.0,28yearslater,Sony Pictures,Horror,Original Screenplay,Live Action,Science Fiction,60000000.0,3444.0,3444.0,13927.0,30002966.0,70446897.0,70446897.0,79559856.0,150006753.0,2025.0,35.0,28yearslater,151329249.0,70446897.0,0.466,80882352.0,0.534,641724.0,0.0,0.0,Released,2019-01-01,0.0,10.0,False,0.0,lv,0.6,,Latvijas Kultūras akadēmija,Latvia,,2019.0,both,both
,,,,,,,,,,,,,,,,,,,2020.0,116.0,365days,9458590.0,,,9458590.0,1.0,664413.0,7.063,8429.0,Released,2020-02-07,9458590.0,116.0,False,0.0,pl,32.781,"Romance, Drama","Ekipa, Future Space, Next Film, TVN Group",Poland,"English, French, Italian, Polish",2020.0,both,right_only
,,,,,,,,,,,,,,,,,,,2017.0,98.0,47metersdown,62187529.0,44307191.0,0.7120000000000001,17880338.0,0.29,403119.0,5.789,2570.0,Released,2017-05-25,62198461.0,89.0,False,5500000.0,en,17.948,"Thriller, Adventure, Horror","Lantica Media, Flexibon Films, Dragon Root Securities, Altitude Film Sales, Dimension Films, Entertainment Studios Motion Pictures, Tea Shop & Film Company, The Fyzz","Dominican Republic, United Kingdom, United States of America","English, Spanish",2017.0,both,right_only
,,,,,,,,,,,,,,,,,,,2019.0,127.0,47metersdownuncaged,47582563.0,22260900.0,0.4679999999999999,25321663.0,0.53,480105.0,5.714,1284.0,Released,2019-08-15,47582563.0,90.0,False,12000000.0,en,19.705,"Horror, Drama, Adventure","The Fyzz, Lionsgate","United States of America, United Kingdom",English,2019.0,both,right_only
,,,,,,,,,,,,,,,,,,,2025.0,156.0,5centimeterspersecond,13942610.0,,,13942610.0,1.0,38142.0,7.319,1763.0,Released,2007-03-03,0.0,63.0,False,5000000.0,ja,23.128,"Animation, Drama, Family, Romance",CoMix Wave Films,Japan,Japanese,2007.0,both,right_only
94.0,"Mar 10, 2023","Mar 9, 2023",2023.0,65,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,45000000.0,3405.0,3405.0,12818.0,12328361.0,32062904.0,33147190.0,24178123.0,56241027.0,2023.0,81.0,65,60730568.0,32062904.0,0.528,28667664.0,0.47,700391.0,6.122,1653.0,Released,2023-03-02,55000000.0,92.0,False,45000000.0,en,85.473,"Science Fiction, Action, Adventure","Raimi Productions, Beck/Woods, Bron Studios, Columbia Pictures, TSG Entertainment","Canada, United States of America",English,2023.0,both,both
,,,,,,,,,,,,,,,,,,,2022.0,189.0,777charlie,7529270.0,,,7529270.0,1.0,634120.0,7.633,30.0,Released,2022-06-10,0.0,166.0,False,0.0,kn,15.466,"Adventure, Comedy, Drama","Paramvah Studios, KVN Productions, Suresh Productions, Stone Bench Creations",India,Kannada,2022.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,104.0,80forbrady,40480875.0,39448525.0,0.974,1032350.0,0.03,942922.0,6.61,100.0,Released,2023-02-03,29637811.0,98.0,False,28000000.0,en,17.646,Comedy,"199 Productions, Watch This Ready, Fifth Season, Tempesta Films, Paramount, CJ Entertainment","South Korea, United States of America",English,2023.0,both,right_only
,,,,,,,,,,,,,,,,,,,2021.0,106.0,999criminallawyerthemovie,23055069.0,,,23055069.0,1.0,923526.0,6.4,5.0,Released,2021-12-30,0.0,120.0,False,0.0,ja,1.4,"Drama, Comedy, Crime",TBS,Japan,Japanese,2021.0,both,right_only
68.0,"Nov 1, 2017","Nov 1, 2017",2017.0,abadmomschristmas,STX Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,28000000.0,3615.0,3615.0,18530.0,16759161.0,72110659.0,90917889.0,55599891.0,127710550.0,2017.0,65.0,abadmomschristmas,130560428.0,72110659.0,0.552,58449769.0,0.45,431530.0,6.314,1923.0,Released,2017-08-04,130560428.0,104.0,False,28000000.0,en,13.988,Comedy,"STX Films, Robert Simonds Productions, Suzanne Todd Productions, Huayi Brothers Pictures, Universal Pictures",United States of America,English,2017.0,both,both
92.0,"Nov 22, 2019","Nov 22, 2019",2019.0,abeautifuldayintheneighborhood,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,45000000.0,3235.0,3491.0,18087.0,13251238.0,61696436.0,76164164.0,6893567.0,68590003.0,2019.0,97.0,abeautifuldayintheneighborhood,67925733.0,61704055.0,0.908,6221678.0,0.09,501907.0,7.0,1447.0,Released,2019-09-07,67925733.0,109.0,False,25000000.0,en,18.327,"Drama, History","TriStar Pictures, Tencent Pictures, Big Beach","China, United States of America",English,2019.0,both,both
,,,,,,,,,,,,,,,,,,,2016.0,179.0,abeautifulplanet,25730120.0,15650615.0,0.608,10079505.0,0.39,365997.0,6.902,56.0,Released,2016-04-16,24000000.0,45.0,False,0.0,en,5.26,Documentary,IMAX,United States of America,English,2016.0,both,right_only
89.0,"Apr 19, 2024","Apr 17, 2024",2024.0,abigail,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,28000000.0,3384.0,3393.0,11859.0,10297110.0,25867515.0,25867515.0,17174055.0,43041570.0,2024.0,78.0,abigail,42791449.0,25867515.0,0.605,16923934.0,0.4,575094.0,6.183,202.0,Released,2019-08-22,1940234.0,110.0,False,7000000.0,en,10.39,"Adventure, Fantasy, Mystery",Kinodanz,Russia,English,2019.0,both,both
48.0,"Sep 27, 2019","Sep 19, 2019",2019.0,abominable,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000.0,4242.0,4248.0,19825.0,20612100.0,60761390.0,75017455.0,127907499.0,188668889.0,2019.0,49.0,abominable,188623517.0,60716390.0,0.322,127907127.0,0.68,431580.0,7.509,1877.0,Released,2019-09-19,190304772.0,97.0,False,75000000.0,en,27.909,"Family, Animation, Adventure, Comedy","DreamWorks Animation, Pearl Studio, Universal Pictures, dentsu","China, Japan, United States of America",English,2019.0,both,both
,,,,,,,,,,,,,,,,,,,2023.0,148.0,aboutmyfather,18167819.0,12089391.0,0.665,6078428.0,0.34,829051.0,6.234,124.0,Released,2023-05-25,0.0,90.0,False,29100000.0,en,33.845,Comedy,"Lionsgate, Depth of Field",United States of America,English,2023.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,148.0,aboutmyfather,18167819.0,12089391.0,0.665,6078428.0,0.34,1434391.0,0.0,0.0,Released,2013-01-01,0.0,45.0,False,0.0,ja,0.6,Drama,,Japan,Japanese,2013.0,both,right_only
,,,,,,,,,,,,,,,,,,,2016.0,143.0,absolutelyfabulousthemovie,39219109.0,4772155.0,0.122,34446954.0,0.88,372411.0,5.357,223.0,Released,2016-07-01,37915971.0,91.0,False,0.0,en,8.748,Comedy,"British Film Company, Fox Searchlight Pictures",United Kingdom,English,2016.0,both,right_only
